tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight
CF-100a		CF-100										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG			
CF-100a	CF-100a_LP-DIR-T	CF-100		ht	292.9	26	2	9	0	16.4	10	Sedimentary	Sediment Layer	Siltstone:Sandstone	953	923	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-100a	CF-100a_LP-DIR-T	CF-100		mt	281.0	41.6	2	10	0	8.1	4.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	673	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-100a	CF-100a_LP-DIR-T	CF-100		ht	288.4	31.6	2	9	100	16.4	10	Sedimentary	Sediment Layer	Siltstone:Sandstone	953	923	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-100a	CF-100a_LP-DIR-T	CF-100		mt	272.2	45.1	2	10	100	8.1	4.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	673	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-100a	CF-100a_LP-DIR-T	CF-100		mt	242.0	72	2	10	-1	8.1	4.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	673	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-100a	CF-100a_LP-DIR-T	CF-100		ht	315.0	77.8	2	9	-1	16.4	10	Sedimentary	Sediment Layer	Siltstone:Sandstone	953	923	K		hargrave 2021-02-11 20:25:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-101a	CF-101a_LP-DIR-T	CF-101		lt	14.9	72.5	2	3	100	34.5	14.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	573	373	K		hargrave 2021-02-12 14:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-101a		CF-101										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG			
CF-101a	CF-101a_LP-DIR-T	CF-101		lt	151.0	22.2	2	3	-1	34.5	14.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	573	373	K		hargrave 2021-02-12 14:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-101a	CF-101a_LP-DIR-T	CF-101		mt	125.7	66.5	2	11	-1	5.6	12.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	903	723	K		hargrave 2021-02-12 14:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-101a	CF-101a_LP-DIR-T	CF-101		lt	5.0	63.3	2	3	0	34.5	14.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	573	373	K		hargrave 2021-02-12 14:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-101a	CF-101a_LP-DIR-T	CF-101		mt	298.8	36.7	2	11	0	5.6	12.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	903	723	K		hargrave 2021-02-12 14:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-101a	CF-101a_LP-DIR-T	CF-101		mt	292.3	43	2	11	100	5.6	12.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	903	723	K		hargrave 2021-02-12 14:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-102a	CF-102a_LP-DIR-T	CF-102		lt	35.1	79.1	3	3	100	35	3.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-102a	CF-102a_LP-DIR-T	CF-102		ht	259.5	30	3	6	100	0	19.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	955	945	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CF-102a	CF-102a_LP-DIR-T	CF-102		lt	12.3	71	3	3	0	35	3.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-102a	CF-102a_LP-DIR-T	CF-102		ht	265.1	29	3	6	0	0	19.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	955	945	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CF-102a	CF-102a_LP-DIR-T	CF-102		mt	136.3	61.6	3	9	-1	3.4	6.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	893	773	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-102a	CF-102a_LP-DIR-T	CF-102		lt	160.7	17.3	3	3	-1	35	3.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-102a	CF-102a_LP-DIR-T	CF-102		mt	294.4	41.3	3	9	0	3.4	6.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	893	773	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-102a	CF-102a_LP-DIR-T	CF-102		mt	286.4	46.9	3	9	100	3.4	6.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	893	773	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-102a		CF-102										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG			
CF-102a	CF-102a_LP-DIR-T	CF-102		ht	206.0	83.3	3	6	-1	0	19.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	955	945	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CF-103a	CF-103a_LP-DIR-T	CF-103		mt	300.3	44.7	3	9	0	6.9	6.9	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-103a	CF-103a_LP-DIR-T	CF-103		ht	279.2	24.1	3	9	100	0	13.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	957	937	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CF-103a	CF-103a_LP-DIR-T	CF-103		ht	282.9	19.9	3	9	0	0	13.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	957	937	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CF-103a	CF-103a_LP-DIR-T	CF-103		lt	35.6	62.5	3	3	100	38	3.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-103a	CF-103a_LP-DIR-T	CF-103		mt	291.7	51.1	3	9	100	6.9	6.9	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-103a	CF-103a_LP-DIR-T	CF-103		mt	145.8	51.1	3	9	-1	6.9	6.9	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-103a	CF-103a_LP-DIR-T	CF-103		lt	24.2	55.2	3	3	0	38	3.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-103a	CF-103a_LP-DIR-T	CF-103		ht	114.5	77.2	3	9	-1	0	13.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	957	937	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CF-103a		CF-103										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG			
CF-103a	CF-103a_LP-DIR-T	CF-103		lt	148.5	-0.5	3	3	-1	38	3.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-104a	CF-104a_LP-DIR-T	CF-104		mt	289.3	48	2	9	100	5.9	8.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-104a		CF-104										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG			
CF-104a	CF-104a_LP-DIR-T	CF-104		ht	125.1	44.3	2	7	-1	0	10.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	953	913	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CF-104a	CF-104a_LP-DIR-T	CF-104		mt	153.8	45.2	2	9	-1	5.9	8.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
