formation,f,f min,f max,ref,mineralogy,method,note
Glenshaw Fm.,0.65,,,"Kodama, 2009",Magnetite,Anisotropy,
Perforada Fm.,0.67,,,"Vaugn et al., 2005",Magnetite,Anisotropy,
Nanaimo Group,0.7,,,"Kim and Kodama, 2004",Magnetite,Anisotropy,
Valle Group,0.69,,,"Li et al., 2001",Magnetite,Anisotropy,
Ladd Fm.,0.65,,,"Tan and Kodama, 1998",Magnetite,Anisotropy,
Point Loma Fm.,0.56,,,"Tan and Kodama, 1998",Magnetite,Anisotropy,
Pigeon Point Fm.,0.71,,,"Kodama and Davi, 1995",Magnetite,Anisotropy,
Deer Lake Group,0.54,,,"Bilardello, 2008",Magnetite,Anisotropy,
Nacimiento Fm.,0.79,,,"Kodama, 1997",Magnetite,Anisotropy,
Spain,0.73,0.63,0.84,"Krijgsman and Tauxe, 2004",unknown,EI,
Crete,0.74,0.61,0.86,"Krijgsman and Tauxe, 2004",unknown,EI,
Linzizong Group,0.45,0.32,0.57,"Huang et al., 2013",Magnetite,EI,
Itarare,0.68,,,Bilardello et al. 2018,Magnetite,Anisotropy,
Shepody Fm.,0.64,,,"Bilardello, 2008",Hematite,Anisotropy,
Maringouin Fm.,0.83,,,"Bilardello, 2008",Hematite,Anisotropy,
Dan River,0.59,0.49,0.74,"Kent and Tauxe, 2005",Hematite,EI,
Newark basin: Princeton,0.57,0.39,1.04,"Kent and Tauxe, 2005",Hematite,EI,
Newark basin: Nursery,0.4,0.33,0.54,"Kent and Tauxe, 2005",Hematite,EI,
Newark basin: Titusville,0.63,0.54,0.76,"Kent and Tauxe, 2005",Hematite,EI,
Newark basin: Rutgers,0.66,0.57,0.73,"Kent and Tauxe, 2005",Hematite,EI,
Newark basin: Somerset,0.63,0.53,0.73,"Kent and Tauxe, 2005",Hematite,EI,
Newark basin: Weston,0.49,0.42,0.59,"Kent and Tauxe, 2005",Hematite,EI,
Newark basin: Martinsville,0.49,0.42,0.59,"Kent and Tauxe, 2005",Hematite,EI,
St. Audrie's Bay,0.68,0.59,1.02,"Kent and Tauxe, 2005",Hematite,EI,
Jameson Land,0.58,0.47,0.81,"Kent and Tauxe, 2005",Hematite,EI,
Mauch Chunk,0.49,,,Bilardello and Kodama 2010c,Hematite,Anisotropy,
Potwar,0.77,0.58,0.99,"Tauxe, 2005",Hematite,EI,
Subei,0.49,0.37,0.65,"Tauxe, 2005",Hematite,EI,
Sonkul Basin,0.58,0.44,0.79,"Kirscher et al., 2014",Hematite,EI,
Lhasa block,0.52,0.48,0.56,"Tan et al., 2010",Hematite,EI,
Asia: Ctg-Xsh,0.78,0.51,1,"Dupont-Nivet et al., 2008",Hematite,EI,
Asia: Xiejia,0.9,0.72,1.04,"Dupont-Nivet et al., 2008",Hematite,EI,
Asia: Mahalagou,0.68,0.54,0.78,"Dupont-Nivet et al., 2008",Hematite,EI,
Asia: Guide,0.63,0.51,0.7,"Yan et al., 2006",Hematite,EI,
Greater India: Zhongpu,0.69,0.49,0.9,"Patzelt et al., 1996",Magnetite,EI,
Greater India: Zhongshan,0.91,1.25,0.71,"Patzelt et al., 1996",Magnetite,EI,
Santa Fe Group,0.86,,,"Brandt et al., 2009",Hematite,EI,
Gonjo Basin Group 1,0.46,0.32,0.68,"Vaes et al., 2021",Hematite,EI,
Gonjo Basin Group 2,0.56,0.43,0.8,"Vaes et al., 2021",Hematite,EI,
Gonjo Basin Group 3,0.64,0.48,0.84,"Vaes et al., 2021",Hematite,EI,
Gonjo Basin Group 4,0.47,0.35,0.64,"Vaes et al., 2021",Hematite,EI,
Gonjo Basin Group 5,0.48,0.33,0.69,"Vaes et al., 2021",Hematite,EI,
Gonjo Basin Group 6,0.44,0.31,0.62,"Vaes et al., 2021",Hematite,EI,
Gonjo Basin Group 7,0.2,0.15,0.53,"Vaes et al., 2021",Hematite,EI,
Gonjo Basin Group 8,0.52,0.41,0.7,"Vaes et al., 2021",Hematite,EI,
