tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
CF-10a_LP-DIR-T-1	CF-10a_LP-DIR-T	CF-10a	1.0	190.2	-15.5	0	0	0	0	0	273	This study	hargrave 2020-08-30 18:56:57	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.50	1.65e-06	9.64e-09	1.7e-08	2.0099999999999998e-08	CF-10	CF	Cutface Creek
CF-10a_LP-DIR-T-2	CF-10a_LP-DIR-T	CF-10a	2.1	192.5	-17.8	0	0	0	0	1	373	This study	hargrave 2020-09-01 16:38:29	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.50	1.54e-06	4.4799999999999994e-09	3.5699999999999995e-08	4.24e-08	CF-10	CF	Cutface Creek
CF-10a_LP-DIR-T-3	CF-10a_LP-DIR-T	CF-10a	1.7	182.2	-33.5	0	0	0	0	2	473	This study	hargrave 2020-09-05 16:25:51	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.50	9.359999999999999e-07	1.3e-08	1.44e-08	1.88e-08	CF-10	CF	Cutface Creek
CF-10a_LP-DIR-T-4	CF-10a_LP-DIR-T	CF-10a	2.6	184.1	-42.0	0	0	0	0	3	573	This study	hargrave 2020-09-06 18:59:12	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.50	6.790000000000001e-07	1.4e-08	2.48e-08	1.27e-08	CF-10	CF	Cutface Creek
CF-10a_LP-DIR-T-5	CF-10a_LP-DIR-T	CF-10a	2.3	188.7	-46.1	0	0	0	0	4	673	This study	hargrave 2020-09-15 15:56:32	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.50	4.93e-07	4.6799999999999996e-09	1.84e-08	5.9e-09	CF-10	CF	Cutface Creek
CF-10a_LP-DIR-T-6	CF-10a_LP-DIR-T	CF-10a	2.9	185.5	-46.2	0	0	0	0	5	723	This study	hargrave 2020-09-17 22:45:14	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.50	4.39e-07	1.09e-08	1.89e-08	6.21e-09	CF-10	CF	Cutface Creek
CF-10a_LP-DIR-T-7	CF-10a_LP-DIR-T	CF-10a	3.7	189.9	-49.5	0	0	0	0	6	773	This study	hargrave 2020-09-19 15:11:39	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.50	3.89e-07	1.1000000000000001e-08	2.19e-08	5.04e-09	CF-10	CF	Cutface Creek
CF-10a_LP-DIR-T-8	CF-10a_LP-DIR-T	CF-10a	2.7	185.1	-51.1	0	0	0	0	7	798	This study	hargrave 2020-09-19 20:10:16	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.50	3.55e-07	7.970000000000001e-09	1.38e-08	4.56e-09	CF-10	CF	Cutface Creek
CF-10a_LP-DIR-T-9	CF-10a_LP-DIR-T	CF-10a	1.8	184.4	-49.4	0	0	0	0	8	823	This study	hargrave 2020-09-22 15:44:25	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.50	3.15e-07	7.390000000000001e-09	5.589999999999999e-09	4.0600000000000005e-09	CF-10	CF	Cutface Creek
CF-10a_LP-DIR-T-10	CF-10a_LP-DIR-T	CF-10a	1.6	183.8	-49.5	0	0	0	0	9	833	This study	hargrave 2020-09-24 20:11:21	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.50	2.87e-07	6.800000000000001e-09	1.19e-09	4.42e-09	CF-10	CF	Cutface Creek
CF-10a_LP-DIR-T-11	CF-10a_LP-DIR-T	CF-10a	1.6	188.3	-49.9	0	0	0	0	10	843	This study	hargrave 2020-09-26 14:47:42	LT-T-Z:LP-DIR-T	g	11	u	8	273			pmagpy-4.2.50	2.7100000000000003e-07	6.43e-09	2.23e-09	3.97e-09	CF-10	CF	Cutface Creek
CF-10a_LP-DIR-T-12	CF-10a_LP-DIR-T	CF-10a	1.3	190.7	-53.0	0	0	0	0	11	853	This study	hargrave 2020-09-27 13:55:18	LT-T-Z:LP-DIR-T	g	12	u	8	273			pmagpy-4.2.50	2.47e-07	5.23e-09	6.700000000000001e-10	2.72e-09	CF-10	CF	Cutface Creek
CF-10a_LP-DIR-T-13	CF-10a_LP-DIR-T	CF-10a	1.5	179.5	-52.7	0	0	0	0	12	863	This study	hargrave 2020-10-03 13:50:22	LT-T-Z:LP-DIR-T	g	13	u	8	273			pmagpy-4.2.50	2.2899999999999997e-07	2.7399999999999996e-09	5.37e-09	1.31e-09	CF-10	CF	Cutface Creek
