tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		1.3	142.1	43.4	CF-53a_LP-DIR-T	hargrave 2020-08-30 20:57:36	3.45e-07	1.4300000000000002e-09	8.15e-09	7.970000000000001e-09	8	273	CF-53a_LP-DIR-T-1	LT-NO:LP-DIR-T	g	1	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	0	273.0
	This study		0.6	140.9	45.6	CF-53a_LP-DIR-T	hargrave 2020-10-09 14:42:49	3.29e-07	2.02e-09	2.59e-09	1.7300000000000002e-09	8	273	CF-53a_LP-DIR-T-2	LT-NO:LP-DIR-T	g	2	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	1	273.0
	This study		4.5	139.4	45.8	CF-53a_LP-DIR-T	hargrave 2020-10-13 16:56:28	3.2200000000000005e-07	1.76e-08	1.85e-08	1.85e-09	8	273	CF-53a_LP-DIR-T-3	LT-T-Z:LP-DIR-T	g	3	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	2	373.0
	This study		2.3	137.7	49.1	CF-53a_LP-DIR-T	hargrave 2020-10-17 17:56:50	2.98e-07	1.01e-08	4.01e-09	5.03e-09	8	273	CF-53a_LP-DIR-T-4	LT-T-Z:LP-DIR-T	g	4	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	3	473.0
	This study		2.5	136.7	50.1	CF-53a_LP-DIR-T	hargrave 2020-10-30 15:09:32	2.5e-07	4.85e-09	9.340000000000001e-09	3.03e-09	8	273	CF-53a_LP-DIR-T-5	LT-T-Z:LP-DIR-T	g	5	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	4	573.0
	This study		1.3	133.1	52.7	CF-53a_LP-DIR-T	hargrave 2020-11-15 12:06:47	1.94e-07	3.59e-09	7.34e-10	2.6600000000000003e-09	8	273	CF-53a_LP-DIR-T-6	LT-T-Z:LP-DIR-T	g	6	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	5	673.0
	This study		66.1	178.8	0.1	CF-53a_LP-DIR-T	hargrave 2020-11-15 21:27:56	7.110000000000001e-08	2.13e-09	8.25e-08	1.44e-07	8	273	CF-53a_LP-DIR-T-7	LT-T-Z:LP-DIR-T	g	7	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	6	723.0
	This study		2.2	132.6	53.1	CF-53a_LP-DIR-T	hargrave 2020-11-15 22:58:06	1.71e-07	5.71e-09	1.8e-09	2.41e-09	8	273	CF-53a_LP-DIR-T-8	LT-T-Z:LP-DIR-T	g	8	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	7	723.0
	This study		1.8	131.2	53.2	CF-53a_LP-DIR-T	hargrave 2020-11-18 20:40:06	1.51e-07	3.8e-09	2.65e-09	1.1699999999999999e-09	8	273	CF-53a_LP-DIR-T-9	LT-T-Z:LP-DIR-T	g	9	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	8	773.0
	This study		1.4	127.1	52.6	CF-53a_LP-DIR-T	hargrave 2020-11-22 12:31:35	1.43e-07	3.22e-09	4.75e-10	1.5e-09	8	273	CF-53a_LP-DIR-T-10	LT-T-Z:LP-DIR-T	g	10	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	9	798.0
	This study		1.7	126.5	53.5	CF-53a_LP-DIR-T	hargrave 2020-11-25 18:09:45	1.37e-07	2.92e-09	2.59e-09	8.14e-10	8	273	CF-53a_LP-DIR-T-11	LT-T-Z:LP-DIR-T	g	11	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	10	823.0
	This study		1.5	128.7	52.9	CF-53a_LP-DIR-T	hargrave 2020-11-27 15:22:12	1.26e-07	2.18e-09	2.39e-09	6.46e-10	8	273	CF-53a_LP-DIR-T-12	LT-T-Z:LP-DIR-T	g	12	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	11	833.0
	This study		1.9	134.3	54.7	CF-53a_LP-DIR-T	hargrave 2020-12-09 13:54:43	1.1699999999999999e-07	3.5e-09	8.87e-10	1.3300000000000002e-09	8	273	CF-53a_LP-DIR-T-13	LT-T-Z:LP-DIR-T	g	13	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	12	843.0
	This study		1.3	128.9	54.6	CF-53a_LP-DIR-T	hargrave 2020-12-10 12:28:42	1.11e-07	2.28e-09	7.79e-10	9.94e-10	8	273	CF-53a_LP-DIR-T-14	LT-T-Z:LP-DIR-T	g	14	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	13	853.0
	This study		2.0	231.4	-52.2	CF-53a_LP-DIR-T	hargrave 2020-12-10 21:01:16	1.0300000000000001e-07	3.2799999999999994e-09	1.98e-09	4.52e-10	8	273	CF-53a_LP-DIR-T-15	LT-T-Z:LP-DIR-T	g	15	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	14	863.0
	This study		3.0	124.9	54.3	CF-53a_LP-DIR-T	hargrave 2020-12-11 09:13:29	9.67e-08	4.55e-09	1.9e-09	9.42e-10	8	273	CF-53a_LP-DIR-T-16	LT-T-Z:LP-DIR-T	g	16	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	15	873.0
	This study		1.9	122.2	54.4	CF-53a_LP-DIR-T	hargrave 2020-12-11 22:26:03	8.92e-08	2.8199999999999998e-09	5.3e-10	9.99e-10	8	273	CF-53a_LP-DIR-T-17	LT-T-Z:LP-DIR-T	g	17	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	16	883.0
	This study		0.9	125.7	54.0	CF-53a_LP-DIR-T	hargrave 2020-12-13 23:14:51	8.5e-08	8.14e-10	8.18e-10	7.099999999999999e-10	8	273	CF-53a_LP-DIR-T-18	LT-T-Z:LP-DIR-T	g	18	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	17	893.0
	This study		1.6	123.8	53.6	CF-53a_LP-DIR-T	hargrave 2020-12-14 20:03:02	7.87e-08	1.1699999999999999e-09	1.7000000000000001e-09	8.150000000000001e-10	8	273	CF-53a_LP-DIR-T-19	LT-T-Z:LP-DIR-T	g	19	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	18	903.0
	This study		0.9	126.3	52.2	CF-53a_LP-DIR-T	hargrave 2020-12-18 14:50:17	7.139999999999999e-08	9.42e-10	3.3300000000000004e-10	6.51e-10	8	273	CF-53a_LP-DIR-T-20	LT-T-Z:LP-DIR-T	g	20	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	19	913.0
	This study		0.8	120.5	53.3	CF-53a_LP-DIR-T	hargrave 2020-12-18 20:11:03	6.17e-08	7.43e-10	4.15e-10	4.6399999999999995e-10	8	273	CF-53a_LP-DIR-T-21	LT-T-Z:LP-DIR-T	g	21	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	20	923.0
	This study		0.8	125.0	54.0	CF-53a_LP-DIR-T	hargrave 2020-12-19 18:32:29	5.32e-08	5.43e-10	5.64e-10	4.04e-10	8	273	CF-53a_LP-DIR-T-22	LT-T-Z:LP-DIR-T	g	22	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	21	933.0
	This study		0.9	117.1	53.0	CF-53a_LP-DIR-T	hargrave 2020-12-20 13:21:57	4.21e-08	4.75e-10	4.46e-10	2.62e-10	8	273	CF-53a_LP-DIR-T-23	LT-T-Z:LP-DIR-T	g	23	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	22	937.0
	This study		2.5	115.6	49.9	CF-53a_LP-DIR-T	hargrave 2020-12-22 13:47:46	3.76e-08	1.57e-09	5.21e-10	2.07e-10	8	273	CF-53a_LP-DIR-T-24	LT-T-Z:LP-DIR-T	g	24	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	23	941.0
	This study		2.2	116.2	50.5	CF-53a_LP-DIR-T	hargrave 2020-12-29 12:17:26	3.2e-08	9.18e-10	8.41e-10	1.5699999999999997e-10	8	273	CF-53a_LP-DIR-T-25	LT-T-Z:LP-DIR-T	g	25	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	24	945.0
	This study		1.7	131.6	54.4	CF-53a_LP-DIR-T	hargrave 2020-12-29 19:40:27	2.28e-08	7.18e-10	2.7799999999999997e-10	3.1600000000000005e-10	8	273	CF-53a_LP-DIR-T-26	LT-T-Z:LP-DIR-T	g	26	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	25	947.0
	This study		1.6	123.3	50.3	CF-53a_LP-DIR-T	hargrave 2021-01-01 13:51:28	2.3399999999999998e-08	6.14e-10	2.79e-10	1.13e-10	8	273	CF-53a_LP-DIR-T-27	LT-T-Z:LP-DIR-T	g	27	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	26	949.0
	This study		56.8	118.6	49.6	CF-53a_LP-DIR-T	hargrave 2021-01-01 21:31:37	1.09e-08	3.63e-09	6.659999999999999e-09	8.89e-09	8	273	CF-53a_LP-DIR-T-28	LT-T-Z:LP-DIR-T	g	28	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	27	951.0
	This study		70.3	124.6	-36.0	CF-53a_LP-DIR-T	hargrave 2021-01-02 09:58:14	6.8800000000000006e-12	7.33e-12	1.0400000000000001e-11	8.56e-12	8	273	CF-53a_LP-DIR-T-29	LT-T-Z:LP-DIR-T	g	29	pmagpy-4.2.24-1	CF-53a	u	0	0	0.0	0.0	28	951.0
